time,sat_name,subRegion,shaded
2025-11-28T20:43:04.382Z,STELLA,A--127,TRUE
2025-11-28T20:43:04.382Z,LCS 1,A--128,TRUE
2025-11-28T20:43:04.382Z,STELLA,A--128,TRUE
2025-11-28T20:43:04.382Z,LCS 1,A--129,TRUE
2025-11-28T20:43:04.382Z,LCS 1,A--133,TRUE
2025-11-28T20:43:04.382Z,STELLA,A--133,TRUE
2025-11-28T20:43:04.382Z,LCS 1,A--134,TRUE
2025-11-28T20:43:04.382Z,LCS 1,A--135,TRUE
2025-11-28T20:43:04.382Z,LCS 1,A--139,TRUE
2025-11-28T20:43:04.382Z,LCS 1,A--140,TRUE
2025-11-28T20:43:04.382Z,RADIO ROSTO (RS-15),A--147,FALSE
2025-11-28T20:43:04.382Z,RADIO ROSTO (RS-15),A--148,FALSE
2025-11-28T20:43:04.382Z,RADIO ROSTO (RS-15),A--151,FALSE
2025-11-28T20:43:04.382Z,RADIO ROSTO (RS-15),A--152,FALSE
2025-11-28T20:43:04.382Z,RADIO ROSTO (RS-15),A--153,FALSE
2025-11-28T20:43:04.382Z,RADIO ROSTO (RS-15),A--154,FALSE
2025-11-28T20:43:04.382Z,RADIO ROSTO (RS-15),A--157,FALSE
2025-11-28T20:43:04.382Z,RADIO ROSTO (RS-15),A--158,FALSE
2025-11-28T20:43:04.382Z,RADIO ROSTO (RS-15),A--159,FALSE
2025-11-28T20:43:04.382Z,RADIO ROSTO (RS-15),A--166,FALSE
2025-11-28T20:49:33.382Z,OPS 5712 (P/L 153),A--74,TRUE
2025-11-28T20:49:33.382Z,OPS 5712 (P/L 153),A--75,TRUE
2025-11-28T20:49:33.382Z,OPS 5712 (P/L 153),A--76,TRUE
2025-11-28T20:49:33.382Z,OPS 5712 (P/L 153),A--82,TRUE
2025-11-28T20:49:33.382Z,OPS 5712 (P/L 153),A--83,TRUE
