time,sat_name,subRegion,angle_g_param
2025-11-28T20:26:38.382Z,LCS 1,A--72,0.25
2025-11-28T20:26:38.382Z,LCS 1,A--73,0.25
2025-11-28T20:26:38.382Z,LCS 1,A--80,0.25
2025-11-28T20:26:38.382Z,ITAMSAT (IO-26),A--120,0.25
2025-11-28T20:26:38.382Z,ITAMSAT (IO-26),A--121,0.25
2025-11-28T20:26:38.382Z,ITAMSAT (IO-26),A--127,0.25
2025-11-28T20:26:38.382Z,ITAMSAT (IO-26),A--128,0.25
2025-11-28T20:26:38.382Z,ITAMSAT (IO-26),A--133,0.25
2025-11-28T20:26:38.382Z,ITAMSAT (IO-26),A--134,0.25
2025-11-28T20:26:38.382Z,ITAMSAT (IO-26),A--137,0.25
2025-11-28T20:26:38.382Z,ITAMSAT (IO-26),A--138,0.25
2025-11-28T20:26:38.382Z,ITAMSAT (IO-26),A--139,0.25
2025-11-28T20:26:38.382Z,ITAMSAT (IO-26),A--140,0.25
2025-11-28T20:26:38.382Z,FORTE,A--165,0.25
2025-11-28T20:26:38.382Z,FORTE,A--166,0.25
2025-11-28T20:26:38.382Z,FORTE,A--167,0.25
2025-11-28T20:26:38.382Z,FORTE,A--173,0.25
2025-11-28T20:26:38.382Z,FORTE,A--174,0.25
2025-11-28T20:26:38.382Z,FORTE,A--175,0.25
2025-11-28T20:26:38.382Z,FORTE,A--176,0.25
2025-11-28T20:26:38.382Z,FORTE,A--181,0.25
2025-11-28T20:26:38.382Z,FORTE,A--182,0.25
2025-11-28T20:31:30.382Z,LCS 1,A--80,0.25
2025-11-28T20:31:30.382Z,LCS 1,A--88,0.25
2025-11-28T20:31:30.382Z,LCS 1,A--96,0.25
2025-11-28T20:31:30.382Z,LCS 1,A--97,0.25
2025-11-28T20:31:30.382Z,FORTE,A--176,0.25
2025-11-28T20:32:53.382Z,LCS 1,A--96,0.25
2025-11-28T20:32:53.382Z,LCS 1,A--104,0.25
2025-11-28T20:32:53.382Z,LCS 1,A--105,0.25
2025-11-28T20:32:53.382Z,LCS 1,A--112,0.25
2025-11-28T20:32:53.382Z,LCS 1,A--113,0.25
2025-11-28T20:32:53.382Z,LCS 1,A--121,0.25
2025-11-28T20:32:53.382Z,STELLA,A--123,0.25
2025-11-28T20:32:53.382Z,STELLA,A--124,0.25
2025-11-28T20:32:53.382Z,STELLA,A--125,0.25
2025-11-28T20:32:53.382Z,STELLA,A--130,0.25
2025-11-28T20:32:53.382Z,STELLA,A--131,0.25
2025-11-28T20:32:53.382Z,STELLA,A--132,0.25
2025-11-28T20:32:53.382Z,STELLA,A--136,0.25
2025-11-28T20:37:07.382Z,LCS 1,A--104,0.25
2025-11-28T20:37:07.382Z,LCS 1,A--105,0.25
2025-11-28T20:37:07.382Z,LCS 1,A--112,0.25
2025-11-28T20:37:07.382Z,LCS 1,A--113,0.25
2025-11-28T20:37:07.382Z,STELLA,A--114,0.25
2025-11-28T20:37:07.382Z,LCS 1,A--120,0.25
2025-11-28T20:37:07.382Z,LCS 1,A--121,0.25
2025-11-28T20:37:07.382Z,LCS 1,A--122,0.25
2025-11-28T20:37:07.382Z,STELLA,A--122,0.25
2025-11-28T20:37:07.382Z,STELLA,A--123,0.25
2025-11-28T20:37:07.382Z,STELLA,A--124,0.25
2025-11-28T20:37:07.382Z,STELLA,A--129,0.25
2025-11-28T20:37:07.382Z,STELLA,A--130,0.25
2025-11-28T20:37:07.382Z,STELLA,A--131,0.25
2025-11-28T20:37:07.382Z,STELLA,A--132,0.25
2025-11-28T20:37:07.382Z,STELLA,A--135,0.25
2025-11-28T20:37:07.382Z,STELLA,A--136,0.25
2025-11-28T20:37:07.382Z,RADIO ROSTO (RS-15),A--153,0.25
2025-11-28T20:37:07.382Z,RADIO ROSTO (RS-15),A--154,0.25
2025-11-28T20:37:07.382Z,RADIO ROSTO (RS-15),A--160,0.25
2025-11-28T20:37:07.382Z,RADIO ROSTO (RS-15),A--161,0.25
2025-11-28T20:43:04.382Z,OPS 5712 (P/L 153),A--64,0.25
2025-11-28T20:43:04.382Z,OPS 5712 (P/L 153),A--72,0.25
2025-11-28T20:43:04.382Z,OPS 5712 (P/L 153),A--73,0.25
2025-11-28T20:43:04.382Z,OPS 5712 (P/L 153),A--80,0.25
2025-11-28T20:43:04.382Z,STELLA,A--112,0.25
2025-11-28T20:43:04.382Z,LCS 1,A--120,0.25
2025-11-28T20:43:04.382Z,STELLA,A--120,0.25
2025-11-28T20:43:04.382Z,LCS 1,A--121,0.25
2025-11-28T20:43:04.382Z,STELLA,A--121,0.25
2025-11-28T20:43:04.382Z,LCS 1,A--127,0.25
2025-11-28T20:43:04.382Z,STELLA,A--127,0.25
2025-11-28T20:43:04.382Z,LCS 1,A--128,0.25
2025-11-28T20:43:04.382Z,STELLA,A--128,0.25
2025-11-28T20:43:04.382Z,LCS 1,A--129,0.25
2025-11-28T20:43:04.382Z,LCS 1,A--133,0.25
2025-11-28T20:43:04.382Z,STELLA,A--133,0.25
